,Year,County,Unemployment Rate,Region
214,2012,San Mateo,6.416666667,"San Mateo County, CA"
215,2012,Santa Barbara,8.375,"Santa Barbara County, CA"
216,2012,Santa Clara,7.858333333,"Santa Clara County, CA"
217,2012,Santa Cruz,11.84166667,"Santa Cruz County, CA"
218,2012,Shasta,14.175,"Shasta County, CA"
219,2012,Sierra,14.40833333,"Sierra County, CA"
220,2012,Siskiyou,15.61666667,"Siskiyou County, CA"
221,2012,Solano,10.69166667,"Solano County, CA"
222,2012,Sonoma,8.858333333,"Sonoma County, CA"
223,2012,Stanislaus,14.90833333,"Stanislaus County, CA"
224,2012,Sutter,16.79166667,"Sutter County, CA"
225,2012,Tehama,13.75,"Tehama County, CA"
226,2012,Trinity,14.69166667,"Trinity County, CA"
227,2012,Tulare,16.14166667,"Tulare County, CA"
228,2012,Tuolumne,12.98333333,"Tuolumne County, CA"
229,2012,Ventura,9.1,"Ventura County, CA"
230,2012,Yolo,10.64166667,"Yolo County, CA"
231,2012,Yuba,15.375,"Yuba County, CA"
232,2013,Alameda,7.225,"Alameda County, CA"
233,2013,Alpine,9.775,"Alpine County, CA"
234,2013,Amador,10.31666667,"Amador County, CA"
235,2013,Butte,10.30833333,"Butte County, CA"
236,2013,Calaveras,9.933333333,"Calaveras County, CA"
237,2013,Colusa,18.98333333,"Colusa County, CA"
238,2013,Contra Costa,7.508333333,"Contra Costa County, CA"
239,2013,Del Norte,11.83333333,"Del Norte County, CA"
240,2013,El Dorado,8.491666667,"El Dorado County, CA"
241,2013,Fresno,13.25833333,"Fresno County, CA"
242,2013,Glenn,12.11666667,"Glenn County, CA"
243,2013,Humboldt,8.116666667,"Humboldt County, CA"
244,2013,Imperial,25.04166667,"Imperial County, CA"
245,2013,Inyo,7.833333333,"Inyo County, CA"
246,2013,Kern,11.75833333,"Kern County, CA"
247,2013,Kings,13.43333333,"Kings County, CA"
248,2013,Lake,10.91666667,"Lake County, CA"
249,2013,Lassen,10.61666667,"Lassen County, CA"
250,2013,Los Angeles,19.525,"Los Angeles County, CA"
251,2013,Madera,12.58333333,"Madera County, CA"
252,2013,Marin,5.175,"Marin County, CA"
253,2013,Mariposa,10.65833333,"Mariposa County, CA"
254,2013,Mendocino,8.35,"Mendocino County, CA"
255,2013,Merced,14.5,"Merced County, CA"
256,2013,Modoc,12.29166667,"Modoc County, CA"
257,2013,Mono,8.541666667,"Mono County, CA"
258,2013,Monterey,10.40833333,"Monterey County, CA"
259,2013,Napa,6.933333333,"Napa County, CA"
260,2013,Nevada,8.108333333,"Nevada County, CA"
261,2013,Orange,0.016666667,"Orange County, CA"
262,2013,Placer,7.7,"Placer County, CA"
263,2013,Plumas,13.93333333,"Plumas County, CA"
264,2013,Riverside,9.9,"Riverside County, CA"
265,2013,Sacramento,8.875,"Sacramento County, CA"
266,2013,San Benito,11.09166667,"San Benito County, CA"
267,2013,San Bernardino,9.758333333,"San Bernardino County, CA"
268,2013,San Diego,7.825,"San Diego County, CA"
269,2013,San Francisco,5.45,"San Francisco County, CA"
270,2013,San Joaquin,12.31666667,"San Joaquin County, CA"
271,2013,San Luis Obispo,6.825,"San Luis Obispo County, CA"
272,2013,San Mateo,5.25,"San Mateo County, CA"
273,2013,Santa Barbara,7.216666667,"Santa Barbara County, CA"
274,2013,Santa Clara,6.458333333,"Santa Clara County, CA"
275,2013,Santa Cruz,10.275,"Santa Cruz County, CA"
276,2013,Shasta,11.825,"Shasta County, CA"
277,2013,Sierra,12.8,"Sierra County, CA"
278,2013,Siskiyou,13.15,"Siskiyou County, CA"
